id,GSearch,GSearchNews
602,"Cerca de 38,000 resultados (0.54 segundos) ",Cerca de 260 resultados (0.25 segundos) 
603,Cerca de 127 resultados (0.38 segundos) ,2 resultados (0.38 segundos) 
604,"Cerca de 53,600 resultados (0.52 segundos) ",Cerca de 87 resultados (0.25 segundos) 
605,"Cerca de 604,000 resultados (0.50 segundos) ",Cerca de 228 resultados (0.18 segundos) 
606,"Cerca de 691,000 resultados (0.40 segundos) ","Cerca de 43,200 resultados (0.23 segundos) "
607,"Cerca de 24,100 resultados (0.44 segundos) ",No results
608,"Cerca de 175,000 resultados (0.49 segundos) ","Cerca de 5,700 resultados (0.21 segundos) "
609,"Cerca de 95,100 resultados (0.52 segundos) ",Cerca de 176 resultados (0.25 segundos) 
610,"Cerca de 1,030,000 resultados (1.00 segundos) ","Cerca de 8,760 resultados (0.32 segundos) "
611,"Cerca de 36,900 resultados (0.88 segundos) ",Cerca de 160 resultados (0.26 segundos) 
612,"Cerca de 448,000 resultados (0.69 segundos) ","Cerca de 7,650 resultados (0.33 segundos) "
613,1 resultado (0.29 segundos) ,1 resultado (0.24 segundos) 
614,"Cerca de 41,700 resultados (0.41 segundos) ",7 resultados (0.19 segundos) 
615,"Cerca de 3,510 resultados (0.51 segundos) ",2 resultados (0.23 segundos) 
616,Cerca de 445 resultados (0.67 segundos) ,No results
617,6 resultados (0.43 segundos),1 resultado (0.33 segundos) 
618,"Cerca de 469,000 resultados (0.49 segundos) ","Cerca de 2,140 resultados (0.23 segundos) "
619,"Cerca de 245,000 resultados (0.53 segundos) ","Cerca de 3,290 resultados (0.22 segundos) "
620,10 resultados (0.41 segundos) ,1 resultado (0.31 segundos) 
621,Cerca de 96 resultados (0.54 segundos) ,No results
622,"Cerca de 18,200 resultados (0.48 segundos) ",Cerca de 111 resultados (0.26 segundos) 
623,"Cerca de 171,000 resultados (0.46 segundos) ","Cerca de 1,300 resultados (0.23 segundos) "
624,"Cerca de 49,100 resultados (0.62 segundos) ",Cerca de 161 resultados (0.21 segundos) 
625,"Cerca de 43,900 resultados (0.48 segundos) ",Cerca de 676 resultados (0.22 segundos) 
626,"Cerca de 67,700 resultados (0.53 segundos) ",Cerca de 366 resultados (0.26 segundos) 
627,"Cerca de 542,000 resultados (0.59 segundos) ","Cerca de 1,880 resultados (0.32 segundos) "
628,"Cerca de 83,400 resultados (0.73 segundos) ",Cerca de 377 resultados (0.27 segundos) 
629,"Cerca de 17,600 resultados (0.58 segundos) ",No results
630,"Cerca de 213,000 resultados (0.49 segundos) ",Cerca de 260 resultados (0.18 segundos) 
631,"Cerca de 159,000 resultados (0.58 segundos) ",Cerca de 795 resultados (0.27 segundos) 
632,"Cerca de 1,470,000 resultados (0.53 segundos) ","Cerca de 14,300 resultados (0.27 segundos) "
633,"Cerca de 5,610 resultados (0.57 segundos) ",Cerca de 9 resultados (0.21 segundos) 
634,2 resultados (0.37 segundos) ,1 resultado (0.34 segundos) 
635,"Cerca de 322,000 resultados (0.58 segundos) ","Cerca de 21,100 resultados (0.27 segundos) "
636,"Cerca de 19,900 resultados (0.53 segundos) ",Cerca de 200 resultados (0.21 segundos) 
637,"Cerca de 79,800 resultados (0.46 segundos) ",Cerca de 65 resultados (0.19 segundos) 
638,"Cerca de 21,200 resultados (0.49 segundos) ",No results
639,9 resultados (0.51 segundos) ,4 resultados (0.23 segundos) 
640,"Cerca de 2,710,000 resultados (0.53 segundos) ","Cerca de 20,100 resultados (0.36 segundos) "
641,"Cerca de 7,630 resultados (0.45 segundos) ",3 resultados (0.21 segundos) 
642,"Cerca de 12,500 resultados (0.45 segundos) ",2 resultados (0.22 segundos) 
643,"Cerca de 41,600 resultados (0.42 segundos) ",6 resultados (0.22 segundos) 
644,"Cerca de 59,000 resultados (0.59 segundos) ",10 resultados (0.25 segundos) 
645,8 resultados (0.59 segundos) ,No results
646,"Cerca de 6,560 resultados (0.49 segundos) ",5 resultados (0.21 segundos) 
647,"Cerca de 497,000 resultados (0.54 segundos) ","Cerca de 1,390 resultados (0.24 segundos) "
648,"Cerca de 184,000 resultados (0.56 segundos) ",Cerca de 53 resultados (0.21 segundos) 
649,"Cerca de 4,380,000 resultados (0.65 segundos) ","Cerca de 224,000 resultados (0.31 segundos) "
650,Cerca de 886 resultados (0.74 segundos) ,No results
651,"Cerca de 10,300 resultados (0.50 segundos) ",No results
652,"Cerca de 129,000 resultados (0.48 segundos) ",Cerca de 57 resultados (0.20 segundos) 
653,"Cerca de 5,240,000 resultados (0.48 segundos) ","Cerca de 160,000 resultados (0.24 segundos) "
654,"Cerca de 29,600 resultados (0.49 segundos) ","Cerca de 5,530 resultados (0.28 segundos) "
655,"Cerca de 48,100 resultados (0.39 segundos) ",Cerca de 303 resultados (0.20 segundos) 
656,"Cerca de 38,400 resultados (0.47 segundos) ",Cerca de 234 resultados (0.26 segundos) 
657,"Cerca de 6,510 resultados (0.56 segundos) ",1 resultado (0.23 segundos) 
658,"Cerca de 463,000 resultados (0.56 segundos) ","Cerca de 2,530 resultados (0.26 segundos) "
659,"Cerca de 2,850,000 resultados (0.60 segundos) ","Cerca de 1,520 resultados (0.29 segundos) "
660,"Cerca de 90,800 resultados (0.65 segundos) ",7 resultados (0.21 segundos) 
661,"Cerca de 85,600 resultados (0.92 segundos) ",No results
662,"Cerca de 1,380,000 resultados (0.47 segundos) ","Cerca de 164,000 resultados (0.26 segundos) "
663,"Cerca de 8,500 resultados (0.40 segundos) ",5 resultados (0.17 segundos) 
664,"Cerca de 30,200 resultados (0.45 segundos) ",2 resultados (0.18 segundos) 
665,"Cerca de 5,720 resultados (0.58 segundos) ",2 resultados (0.20 segundos) 
666,"Cerca de 112,000 resultados (0.50 segundos) ","Cerca de 8,780 resultados (0.24 segundos) "
667,"Cerca de 5,670 resultados (0.52 segundos) ",2 resultados (0.34 segundos) 
668,"Cerca de 80,900 resultados (0.45 segundos) ","Cerca de 2,140 resultados (0.24 segundos) "
669,"Cerca de 12,500 resultados (0.58 segundos) ",No results
670,8 resultados (0.96 segundos) ,No results
671,Cerca de 241 resultados (0.49 segundos) ,5 resultados (0.25 segundos) 
672,"Cerca de 33,900 resultados (0.55 segundos) ",4 resultados (0.19 segundos) 
673,"Cerca de 95,900 resultados (0.64 segundos) ",1 resultado (0.19 segundos) 
674,9 resultados (0.48 segundos) ,Cerca de 103 resultados (0.27 segundos) 
675,"Cerca de 270,000 resultados (0.60 segundos) ",Cerca de 831 resultados (0.33 segundos) 
676,"Cerca de 16,200 resultados (0.44 segundos) ",9 resultados (0.18 segundos) 
